Episode,Reward
910.0,-16.57162184126712
911.0,-16.585905622854447
912.0,-16.600046566625902
913.0,-16.604046100959646
914.0,-16.60800563995005
915.0,-16.60192558355055
916.0,-16.595906327715046
917.0,-16.619947264437897
918.0,-16.653747791793517
919.0,-16.63721031387558
920.0,-16.640838210736828
921.0,-16.644429828629463
922.0,-16.68798553034317
923.0,-16.71110567503974
924.0,-16.683994618289343
925.0,-16.66715467210645
926.0,-16.640483125385384
927.0,-16.66407829413153
928.0,-16.647437511190216
929.0,-16.670963136078313
930.0,-16.654253504717527
931.0,-16.687710969670352
932.0,-16.65083385997365
933.0,-16.64432552137391
934.0,-16.617882266160173
935.0,-16.66170344349857
936.0,-16.665086409063587
937.0,-16.618435544972954
938.0,-16.622251189523226
939.0,-16.616028677627995
940.0,-16.619868390851718
941.0,-16.6136697069432
942.0,-16.617533009873767
943.0,-16.601357679775028
944.0,-16.635344102977275
945.0,-16.638990661947503
946.0,-16.612600755328028
947.0,-16.606474747774747
948.0,-16.620410000297
949.0,-16.584205900294027
950.0,-16.598363841291086
951.0,-16.592380202878175
952.0,-16.586456400849393
953.0,-16.6005918368409
954.0,-16.57458591847249
955.0,-16.598840059287767
956.0,-16.59285165869489
957.0,-16.566923142107942
958.0,-16.58125391068686
959.0,-16.605441371579992
960.0,-16.629386957864195
961.0,-16.613093088285552
962.0,-16.6169621574027
963.0,-16.620792535828674
964.0,-16.62458461047039
965.0,-16.588338764365684
966.0,-16.582455376722027
967.0,-16.60663082295481
968.0,-16.63056451472526
969.0,-16.65425886957801
970.0,-16.597716280882228
971.0,-16.631739118073405
972.0,-16.61542172689267
973.0,-16.609267509623745
974.0,-16.63317483452751
975.0,-16.646843086182233
976.0,-16.63037465532041
977.0,-16.654070908767206
978.0,-16.677530199679534
979.0,-16.63075489768274
980.0,-16.634447348705912
981.0,-16.608102875218854
982.0,-16.602021846466666
983.0,-16.596001628002
984.0,-16.63004161172198
985.0,-16.613741195604756
986.0,-16.60760378364871
987.0,-16.581527745812224
988.0,-16.6157124683541
989.0,-16.51955534367056
990.0,-16.524359790233856
991.0,-16.489116192331515
992.0,-16.5042250304082
993.0,-16.519182780104117
994.0,-16.523990952303077
995.0,-16.548751042780047
996.0,-16.533263532352244
997.0,-16.54793089702872
998.0,-16.562451588058433
999.0,-16.58682707217785
1000.0,-16.570958801456072
1001.0,-16.55524921344151
1002.0,-16.549696721307093
1003.0,-16.494199754094023
1004.0,-16.459257756553082
1005.0,-16.464665178987552
1006.0,-16.470018527197677
1007.0,-16.495318341925703
1008.0,-16.500365158506447
1009.0,-16.545361506921385
1010.0,-16.56990789185217
1011.0,-16.56420881293365
1012.0,-16.588566724804316
1013.0,-16.60268105755627
1014.0,-16.59665424698071
1015.0,-16.5806877045109
1016.0,-16.59488082746579
1017.0,-16.558932019191133
1018.0,-16.55334269899922
1019.0,-16.59780927200923
1020.0,-16.571831179289138
1021.0,-16.59611286749625
1022.0,-16.580151738821286
1023.0,-16.56435022143307
1024.0,-16.52870671921874
1025.0,-16.52341965202655
1026.0,-16.488185455506283
1027.0,-16.493303600951222
1028.0,-16.47837056494171
1029.0,-16.463586859292292
1030.0,-16.478950990699367
1031.0,-16.47416148079237
1032.0,-16.47941986598445
1033.0,-16.454625667324606
1034.0,-16.48007941065136
1035.0,-16.465278616544843
1036.0,-16.470625830379397
1037.0,-16.5059195720756
1038.0,-16.470860376354846
1039.0,-16.486151772591295
1040.0,-16.48129025486538
1041.0,-16.466477352316726
1042.0,-16.42181257879356
1043.0,-16.437594453005623
1044.0,-16.423218508475564
1045.0,-16.368986323390807
1046.0,-16.335296460156897
1047.0,-16.35194349555533
1048.0,-16.398424060599776
1049.0,-16.394439819993778
1050.0,-16.41049542179384
1051.0,-16.4163904675759
1052.0,-16.43222656290014
1053.0,-16.39790429727114
1054.0,-16.423925254298428
1055.0,-16.459686001755443
1056.0,-16.43508914173789
1057.0,-16.440738250320514
1058.0,-16.44633086781731
1059.0,-16.471867559139138
1060.0,-16.447148883547747
1061.0,-16.35267739471227
1062.0,-16.339150620765146
1063.0,-16.355759114557493
1064.0,-16.38220152341192
1065.0,-16.388379508177803
1066.0,-16.374495713096024
1067.0,-16.350750755965066
1068.0,-16.337243248405414
1069.0,-16.35387081592136
1070.0,-16.320332107762148
